Number	Morph	Frequency

1	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom	439463
2	Verb+Pos+Noun+Agt+A3sg+Pnon+Nom	252207
3	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+Pnon+Nom	137643
4	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+Pnon+Gen	84322
5	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+P3sg+Nom	67720
6	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+P3sg+Nom	57923
7	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Gen	52864
8	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+Pnon+Dat	33843
9	Verb+Pos+Noun+Agt+A3sg+P3sg+Nom	29619
10	Verb+Verb+Caus+Pos+Noun+Agt+A3sg+Pnon+Nom	29404
11	Verb+Pos+Noun+Agt+A3pl+Pnon+Nom	23706
12	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Nom	20934
13	Verb+Pos+Noun+Agt+A3pl+Pnon+Gen	16911
14	Verb+Pos+Noun+Agt+A3pl+P3sg+Nom	16634
15	Verb+Pos+Noun+Agt+A3sg+Pnon+Gen	15856
16	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Dat	15744
17	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+Pnon+Abl	15274
18	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Acc	14973
19	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+P3sg+Gen	13541
20	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+Pnon+Ins	13286
21	Verb+Pos+Noun+Agt+A3sg+P3sg+Dat	12443
22	Verb+Pos+Noun+Agt+A3sg+Pnon+Dat	12287
23	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+P3sg+Abl	9874
24	Verb+Pos+Noun+Agt+A3pl+Pnon+Dat	8348
25	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+P3sg+Dat	7969
26	Noun+NoHats+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom	7704
27	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+P1sg+Nom	7473
28	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+P3sg+Acc	6934
29	Noun+Prop+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom	6263
30	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Nom	6074
31	Adj+Verb+Become+Verb+Caus+Pos+Noun+Agt+A3sg+Pnon+Nom	5547
32	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+P1pl+Nom	5491
33	Verb+Pos+Noun+Agt+A3sg+Pnon+Acc	5435
34	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Ins	5396
35	Verb+Pos+Noun+Agt+A3pl+P3sg+Gen	5389
36	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+P3sg+Gen	5006
37	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Abl	4406
38	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom	4228
39	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Dat	3776
40	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+P1pl+Nom	3686
41	Noun+Prop+A3sg+Pnon+Nom+Noun+Agt+A3sg+P1sg+Nom	3535
42	Verb+Pos+Noun+Agt+A3pl+P3sg+Abl	3432
43	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+P3sg+Dat	3137
44	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+P3sg+Ins	3107
45	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Apos+Gen	3078
46	Verb+Pos+Noun+Agt+A3sg+P3sg+Gen	3068
47	Verb+Pos+Noun+Agt+A3pl+P3sg+Dat	2973
48	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+P1pl+Gen	2965
49	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Gen	2870
50	Verb+Verb+Caus+Pos+Noun+Agt+A3sg+P3sg+Nom	2841
51	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+P3sg+Acc	2769
52	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Verb+Pres+Cop+A3sg	2754
53	Verb+Pos+Noun+Agt+A3sg+P1pl+Nom	2360
54	Verb+Pos+Noun+Agt+A3sg+Pnon+Nom+Verb+Pres+Cop+A3sg	2303
55	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+Pnon+Loc	2282
56	Verb+Pos+Noun+Agt+A3pl+Pnon+Abl	2261
57	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Verb+Pres+A1sg	2193
58	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Verb+Past+A3sg	2129
59	Verb+Pos+Noun+Agt+A3sg+Pnon+Ins	2119
60	Verb+Pos+Noun+Agt+A3pl+Pnon+Ins	2104
61	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+P1sg+Nom	2068
62	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Acc	1861
63	Noun+A3sg+Pnon+Nom+Verb+Acquire+Verb+Caus+Pos+Noun+Agt+A3sg+Pnon+Nom	1789
64	Noun+Prop+A3sg+Pnon+Nom+Noun+Agt+A3pl+Pnon+Nom	1730
65	Verb+Pos+Noun+Agt+A3pl+P3sg+Acc	1589
66	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+P1pl+Dat	1574
67	Verb+Pos+Noun+Agt+A3sg+Pnon+Nom+Verb+Past+A3sg	1574
68	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+P3sg+Ins	1365
69	Verb+Pos+Noun+Agt+A3sg+Pnon+Abl	1326
70	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+P3sg+Abl	1311
71	Verb+Verb+Caus+Pos+Noun+Agt+A3pl+Pnon+Nom	1308
72	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Loc	1253
73	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Dat	1212
74	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Ins	1190
75	Adj+Noun+Ness+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom	1185
76	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+P1pl+Acc	1170
77	Verb+Pos+Noun+Agt+A3sg+P3sg+Acc	1144
78	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+P1sg+Gen	1119
79	Verb+Pos+Noun+Agt+A3sg+P1pl+Gen	1088
80	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Abl	1055
81	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+P1sg+Acc	1047
82	Verb+Verb+Caus+Pos+Noun+Agt+A3sg+Pnon+Gen	977
83	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+P1pl+Gen	972
84	Verb+Verb+Caus+Pos+Noun+Agt+A3sg+Pnon+Nom+Verb+Pres+Cop+A3sg	949
85	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom	946
86	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Loc	907
87	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Ins	878
88	Noun+Prop+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Nom	862
89	Noun+A3sg+Pnon+Nom+Noun+Agt+A3pl+P1sg+Dat	852
