Number	Morph	Frequency

1	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Nom	578950
2	Adj+Noun+Ness+A3sg+Pnon+Nom	539303
3	Adj+Noun+Ness+A3sg+P3sg+Nom	289550
4	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Nom	147025
5	Adj+Noun+Ness+A3sg+P3sg+Acc	83737
6	Adj+Noun+Ness+A3pl+Pnon+Nom	79286
7	Adj+Noun+Ness+A3sg+Pnon+Gen	66387
8	Adj+Noun+Ness+A3sg+Pnon+Ins	60451
9	Adj+Noun+Ness+A3sg+Pnon+Dat	59780
10	Adj+Noun+Ness+A3pl+P3sg+Nom	55626
11	Adj+Noun+Ness+A3sg+P3sg+Gen	44045
12	Adj+Noun+Ness+A3sg+P3sg+Dat	41850
13	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Acc	39828
14	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Nom	38372
15	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Dat	35552
16	Adj+Noun+Ness+A3pl+Pnon+Gen	28839
17	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Dat	27782
18	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Gen	27585
19	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Loc	24624
20	Adj+Noun+Ness+A3sg+Pnon+Abl	23237
21	Adj+Noun+Ness+A3sg+Pnon+Loc	22178
22	Noun+A3sg+Pnon+Nom+Noun+Ness+A3pl+P3sg+Nom	21093
23	Adj+Noun+Ness+A3pl+Pnon+Dat	20946
24	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Nom	20934
25	Adj+Noun+Ness+A3sg+P3sg+Loc	19166
26	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Gen	18992
27	Adj+Noun+Ness+A3sg+P3sg+Abl	17941
28	Adj+Noun+Ness+A3sg+P3sg+Ins	17829
29	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Nom	16267
30	Adj+Noun+Ness+A3pl+P3sg+Acc	15786
31	Noun+A3sg+Pnon+Nom+Noun+Ness+A3pl+Pnon+Nom	14389
32	Adj+Noun+Ness+A3pl+Pnon+Ins	12513
33	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Abl	12471
34	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+Pnon+Nom	9880
35	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Loc	9497
36	Adj+Noun+Ness+A3pl+P3sg+Gen	9154
37	Adj+Noun+Ness+A3pl+P3sg+Dat	8548
38	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Ins	7840
39	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Abl	7822
40	Adj+Noun+Ness+A3pl+Pnon+Abl	7577
41	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Acc	7567
42	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+Pnon+Nom	6697
43	Noun+A3sg+Pnon+Nom+Noun+Ness+A3pl+P3sg+Acc	6197
44	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Nom	6074
45	Adj+Noun+Ness+A3sg+P3sg+Loc+Adj+Rel	5845
46	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Ins	5821
47	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Ins	5643
48	Adj+Noun+Ness+A3sg+Pnon+Nom+Verb+Pres+Cop+A3sg	5582
49	Noun+A3sg+Pnon+Nom+Noun+Ness+A3pl+Pnon+Gen	5059
50	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Gen	5004
51	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+P3sg+Nom	4711
52	Adj+NoHats+Noun+Ness+A3sg+Pnon+Nom	4436
53	Adj+Noun+Ness+A3pl+P3sg+Abl	4181
54	Adj+Noun+Ness+A3pl+Pnon+Loc	3946
55	Adj+Noun+Ness+A3sg+Pnon+Loc+Adj+Rel	3840
56	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Dat	3776
57	Adj+Noun+Ness+A3pl+P3sg+Loc	3758
58	Adj+Noun+Ness+A3sg+P1pl+Nom	3486
59	Adj+Noun+Ness+A3pl+P3sg+Ins	3463
