Number	Morph	Frequency

1	Noun+A3sg+Pnon+Nom+Adj+Without	553152
2	Noun+NoHats+A3sg+Pnon+Nom+Adj+Without	13999
3	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+Without	5067
4	Adj+Noun+A3sg+Pnon+Nom+Adj+Without	4117
5	Noun+Prop+A3sg+Pnon+Nom+Adj+Without	3677
6	Verb+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+Without	649
7	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Nom+Adj+Without	417
8	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Adj+Without	327
9	Verb+Pos+Noun+Inf3+A3sg+Pnon+Nom+Adj+Without	280
10	Adj+Noun+Ness+A3sg+Pnon+Nom+Adj+Without	119
11	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+Without	103
12	Noun+A3pl+Pnon+Nom+Adj+Without	71
13	Noun+Acro+Apos+A3sg+Pnon+Nom+Adj+Without	66
14	Verb+Pos+Noun+Agt+A3sg+Pnon+Nom+Adj+Without	56
15	Verb+Pos+Adj+PresPart+Noun+A3sg+Pnon+Nom+Adj+Without	50
16	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Nom+Adj+Without	43
17	Verb+Pos+Noun+FutPart+A3sg+Pnon+Nom+Adj+Without	14
18	Verb+Verb+Caus+Pos+Noun+Agt+A3sg+Pnon+Nom+Adj+Without	11
19	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3sg+Pnon+Nom+Adj+Without	10
20	Verb+Verb+Pass+Pos+Noun+Inf3+A3sg+Pnon+Nom+Adj+Without	10
21	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Nom+Adj+Without	9
22	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Nom+Adj+Without	9
23	Adj+Verb+Become+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+Without	8
24	Noun+NoHats+Prop+A3sg+Pnon+Nom+Adj+Without	8
25	Verb+Reflex+Pos+Noun+Inf3+A3sg+Pnon+Nom+Adj+Without	8
26	Noun+A3sg+Pnon+Nom+Verb+Acquire+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+Without	6
27	Noun+Prop+A3pl+Pnon+Nom+Adj+Without	4
28	Verb+Verb+Caus+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+Without	4
29	Adj+Noun+A3pl+Pnon+Nom+Adj+Without	3
30	Verb+Verb+Caus+Pos+Noun+FutPart+A3sg+Pnon+Nom+Adj+Without	3
31	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+Without	3
32	Noun+A3sg+Pnon+Nom+Noun+Dim+A3sg+Pnon+Nom+Adj+Without	2
33	Noun+A3sg+Pnon+Nom+Verb+Acquire+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+Without	2
34	Noun+A3sg+Pnon+Nom+Verb+Become+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+Without	2
35	Adj+NoHats+Noun+A3sg+Pnon+Nom+Adj+Without	1
36	Adj+NoHats+Noun+Ness+A3sg+Pnon+Nom+Adj+Without	1
37	Noun+A3sg+Pnon+Nom+Verb+Acquire+Verb+Caus+Verb+Pass+Pos+Noun+FutPart+A3sg+Pnon+Nom+Adj+Without	1
38	Noun+A3sg+Pnon+Nom+Verb+Acquire+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+Without	1
39	Verb+Neg+Noun+Inf2+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Nom+Adj+Without	1
40	Verb+Pos+Noun+PastPart+A3sg+Pnon+Nom+Adj+Without	1
41	Verb+Recip+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+Without	1
42	Verb+Reflex+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+Without	1
43	Verb+Verb+Able+Neg+Noun+Inf3+A3sg+Pnon+Nom+Adj+Without	1
44	Verb+Verb+Able+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Nom+Adj+Without	1
45	Verb+Verb+Able+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+Without	1

