Number	Morph	Frequency

1	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+Pnon+Nom	9880
2	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3pl+Pnon+Nom	9616
3	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Pres+Cop+A3sg	9201
4	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3sg+Pnon+Dat	6656
5	Noun+A3sg+Pnon+Nom+Adj+Without+Adj+AsIf	4741
6	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Past+A3sg	3859
7	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3pl+Pnon+Gen	2859
8	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+P3sg+Nom	2624
9	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Pres+A1sg	2367
10	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+Pnon+Dat	1554
11	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3pl+Pnon+Dat	1500
12	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+Pnon+Gen	1229
13	Noun+NoHats+A3sg+Pnon+Nom+Adj+Without+Verb+Pres+Cop+A3sg	1208
14	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+P3sg+Acc	1198
15	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+Pnon+Abl	1149
16	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3sg+Pnon+Gen	1137
17	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3sg+P3sg+Nom	988
18	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+A3pl+P3sg+Nom	954
19	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Pres+A1pl	711
20	Noun+NoHats+A3sg+Pnon+Nom+Adj+Without+Verb+Past+A3sg	538
21	Noun+A3sg+Pnon+Nom+Adj+Without+Noun+Ness+A3sg+P3sg+Dat	522
22	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Past+A1sg	504
23	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Cond+A3sg	486
24	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom	453
25	Noun+A3sg+Pnon+Nom+Adj+Without+Verb+Become+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom	447
