Number	Morph	Frequency

1	Noun+A3sg+Pnon+Nom+Adj+With	4318697
2	Noun+Prop+A3sg+Pnon+Nom+Adj+With	277812
3	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	164143
4	Verb+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	69662
5	Adj+Noun+A3sg+Pnon+Nom+Adj+With	68020
6	Verb+Neg+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	22191
7	Verb+Verb+Pass+Neg+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	13920
8	Verb+Pos+Noun+Inf3+A3sg+Pnon+Nom+Adj+With	13630
9	Noun+NoHats+A3sg+Pnon+Nom+Adj+With	11226
10	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	10477
11	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	6540
12	Noun+Acro+Apos+A3sg+Pnon+Nom+Adj+With	2948
13	Verb+Pos+Noun+FutPart+A3sg+Pnon+Nom+Adj+With	2937
14	Verb+Verb+Able+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	2911
15	Adj+Noun+Ness+A3sg+Pnon+Nom+Adj+With	2390
16	Noun+A3sg+Pnon+Nom+Verb+Acquire+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	2102
17	Verb+Verb+Caus+Verb+Pass+Neg+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	1085
18	Verb+Verb+Caus+Neg+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	1032
19	Noun+A3sg+Pnon+Nom+Verb+Acquire+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	964
20	Adj+Verb+Become+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	900
21	Verb+Pos+Noun+Agt+A3sg+Pnon+Nom+Adj+With	812
22	Noun+A3sg+Pnon+Nom+Noun+Ness+A3sg+Pnon+Nom+Adj+With	797
23	Verb+Verb+Pass+Neg+Adj+PresPart+Noun+A3sg+Pnon+Nom+Adj+With	689
24	Noun+A3sg+Pnon+Nom+Verb+Acquire+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	648
25	Verb+Pos+Adj+PresPart+Noun+A3sg+Pnon+Nom+Adj+With	593
26	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Adj+With	572
27	Verb+Verb+Pass+Verb+Able+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	536
28	Adj+Verb+Become+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	495
29	Noun+A3sg+Pnon+Nom+Verb+Become+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	268
30	Noun+A3sg+Pnon+Nom+Verb+Become+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	234
31	Adj+Verb+Become+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	232
32	Noun+A3sg+Pnon+Nom+Verb+Become+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	218
33	Verb+Verb+Pass+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	203
34	Noun+A3sg+Pnon+Nom+Verb+Acquire+Verb+Caus+Verb+Pass+Neg+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	190
35	Verb+Verb+Caus+Verb+Able+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	186
36	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	186
37	Noun+A3sg+Pnon+Nom+Verb+Acquire+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	168
38	Noun+A3sg+Pnon+Nom+Noun+Dim+A3sg+Pnon+Nom+Adj+With	156
39	Verb+Verb+Able+Neg+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	152
40	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Nom+Adj+With	137
41	Verb+Reflex+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	85
42	Verb+Verb+Caus+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	77
43	Verb+Verb+Pass+Pos+Noun+Inf3+A3sg+Pnon+Nom+Adj+With	71
44	Noun+A3sg+Pnon+Nom+Verb+Acquire+Neg+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	63
45	Adj+Verb+Become+Verb+Caus+Verb+Pass+Neg+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	61
46	Verb+Verb+Caus+Verb+Pass+Verb+Able+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	50
47	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Nom+Adj+With	47
48	Adj+NoHats+Noun+A3sg+Pnon+Nom+Adj+With	46
49	Noun+A3sg+Pnon+Nom+Verb+Acquire+Verb+Caus+Neg+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	44
50	Adj+Verb+Become+Neg+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	39
51	Noun+NoHats+Prop+A3sg+Pnon+Nom+Adj+With	38
52	Verb+Verb+Caus+Pos+Noun+Agt+A3sg+Pnon+Nom+Adj+With	35
53	Verb+Verb+Pass+Verb+Pass+Neg+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	35
54	Verb+Verb+Pass+Verb+Able+Neg+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	30
55	Noun+Prop+A3sg+Pnon+Nom+Adj+FitFor+Noun+A3sg+Pnon+Nom+Adj+With	29
56	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Nom+Adj+With	27
57	Adj+Verb+Become+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	27
58	Adj+Verb+Become+Verb+Caus+Neg+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	26
59	Noun+A3sg+Pnon+Nom+Verb+Acquire+Verb+Caus+Verb+Able+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	26
60	Noun+Prop+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom+Adj+With	26
