Number	Morph	Frequency

1	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Pres+Cop+A3sg	87132
2	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Nom	51139
3	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Nom	38372
4	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Nom	27494
5	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Past+A3sg	25733
6	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P3sg+Nom	21034
7	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Nom	19770
8	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Nom	16267
9	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Pres+A1sg	13405
10	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Nom	13027
11	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Gen	12428
12	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Pres+A1pl	11526
13	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Gen	10847
14	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P3sg+Gen	8435
15	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Gen	8298
16	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Dat	7784
17	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Acc	7567
18	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Pres+A2sg	7335
19	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+Pnon+Nom	6697
20	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Pres+A2pl	6021
21	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Ins	5821
22	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Dat	5218
23	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Gen	5004
24	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+P3sg+Nom	4711
25	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Apos+Gen	4573
26	Noun+A3sg+Pnon+Nom+Adj+With+Adj+AsIf	4374
27	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Gen	3515
28	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Cond+A3sg	3481
29	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P3sg+Dat	3398
30	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P3sg+Abl	3254
31	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Pres+Cop+A3pl	3153
32	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Dat	2950
33	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Acc	2893
34	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Gen	2855
35	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P1sg+Nom	2701
36	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+P3sg+Dat	2696
37	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P2sg+Nom	2487
38	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Narr+A3sg	2480
39	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Gen	2443
40	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Abl	2427
41	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Apos+Gen	2418
42	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Dat	2292
43	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P3sg+Nom	2272
44	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Become+Pos+Noun+Inf2+A3sg+Pnon+Nom	2118
45	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Nom	2021
46	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Acc	1964
47	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Verb+Pres+A1sg	1951
48	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Dat	1905
49	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Gen	1844
50	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+P3sg+Acc	1841
51	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+Pnon+Gen	1811
52	Noun+Prop+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Apos+Gen	1794
53	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Ins	1667
54	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Past+A1sg	1628
55	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Apos+Gen	1569
56	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Adv+While	1546
57	Noun+NoHats+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3sg+Pnon+Nom	1519
58	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Loc	1495
59	Noun+A3sg+Pnon+Nom+Adj+With+Noun+Ness+A3pl+P3sg+Acc	1455
60	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+Pnon+Abl	1452
61	Adj+Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3sg+P3sg+Nom	1430
62	Noun+A3sg+Pnon+Nom+Adj+With+Noun+A3pl+Pnon+Loc	1198
63	Noun+A3sg+Pnon+Nom+Adj+With+Verb+Past+A3pl	1183
